,ID,log2FoldChange
1,FBgn0000003,NA
2,FBgn0000008,-0.088166502
3,FBgn0000014,1.190118463
4,FBgn0000015,1.682087295
5,FBgn0000017,0.524735131
6,FBgn0000018,0.538466973
7,FBgn0000022,NA
8,FBgn0000024,0.516685866
9,FBgn0000028,0.041775935
10,FBgn0000032,-0.209083249
11,FBgn0000036,0.188577892
12,FBgn0000037,0.369959267
13,FBgn0000038,0.230214882
14,FBgn0000039,0.173200032
15,FBgn0000042,-0.172348886
16,FBgn0000043,0.433769337
17,FBgn0000044,-0.049718779
18,FBgn0000045,-0.702539887
19,FBgn0000046,-0.256886795
20,FBgn0000047,4.579742138
21,FBgn0000052,-0.550227329
22,FBgn0000053,-0.47595878
23,FBgn0000055,-0.195661002
24,FBgn0000056,NA
25,FBgn0000057,0.159991445
26,FBgn0000061,-1.670675163
27,FBgn0000063,-0.058772905
28,FBgn0000064,0.227112064
29,FBgn0000071,-2.955191156
30,FBgn0000075,-0.468992808
31,FBgn0000077,-0.278202298
32,FBgn0000078,1.478247301
33,FBgn0000079,0.652314796
34,FBgn0000083,-0.039884678
35,FBgn0000084,-0.251461422
36,FBgn0000092,-0.516176512
37,FBgn0000094,0.662726424
38,FBgn0000097,0.388094724
39,FBgn0000100,-0.560824961
40,FBgn0000108,0.223263353
41,FBgn0000109,0.179759486
42,FBgn0000114,0.177659374
43,FBgn0000115,-0.335883294
44,FBgn0000116,-0.151292631
45,FBgn0000117,0.038575524
46,FBgn0000119,0.350643602
47,FBgn0000120,-0.189538608
48,FBgn0000121,-0.40580594
49,FBgn0000137,-0.068663085
50,FBgn0000139,-0.345069667
51,FBgn0000140,-0.278983588
52,FBgn0000146,-0.449609364
53,FBgn0000147,-0.641008052
54,FBgn0000150,-0.683876428
55,FBgn0000152,-0.325462215
56,FBgn0000153,0.278477343
57,FBgn0000157,-0.04424992
58,FBgn0000158,-0.934816463
59,FBgn0000163,0.2519833
60,FBgn0000166,-2.379385785
61,FBgn0000173,-0.363508981
62,FBgn0000179,0.088959974
63,FBgn0000180,0.150762317
64,FBgn0000181,-0.207011712
65,FBgn0000182,2.257075049
66,FBgn0000183,0.099374118
67,FBgn0000206,-0.260848631
68,FBgn0000212,0.419482955
69,FBgn0000216,-3.888705581
70,FBgn0000221,-0.530218801
71,FBgn0000227,-6.835517097
72,FBgn0000228,0.094672259
73,FBgn0000229,0.098797531
74,FBgn0000233,-0.565584137
75,FBgn0000239,0.091623471
76,FBgn0000241,0.086325857
77,FBgn0000244,0.029944356
78,FBgn0000246,0.109581652
79,FBgn0000247,0.744498762
80,FBgn0000250,-0.092461737
81,FBgn0000251,0.41964305
82,FBgn0000253,-0.11097324
83,FBgn0000256,0.744790591
84,FBgn0000257,-0.373102317
85,FBgn0000259,0.03094535
86,FBgn0000261,0.30042637
87,FBgn0000273,0.147856237
88,FBgn0000274,0.973346414
89,FBgn0000276,-3.099648969
90,FBgn0000277,-7.159448737
91,FBgn0000278,-4.879914678
92,FBgn0000279,-6.540688086
93,FBgn0000280,NA
94,FBgn0000281,NA
95,FBgn0000283,0.226646628
96,FBgn0000286,0.028522178
97,FBgn0000287,0.198437662
98,FBgn0000289,0.220629839
99,FBgn0000299,0.680762129
100,FBgn0000303,0.049153849
101,FBgn0000307,0.701395224
102,FBgn0000308,-0.508491415
103,FBgn0000316,-0.078742974
104,FBgn0000317,0.51674
105,FBgn0000318,-0.406816504
106,FBgn0000319,0.269663696
107,FBgn0000320,-0.256523292
108,FBgn0000326,0.063111479
109,FBgn0000330,-0.070770921
110,FBgn0000337,-0.301394182
111,FBgn0000339,-0.342079698
112,FBgn0000346,0.148102485
113,FBgn0000351,-1.770645118
114,FBgn0000352,0.551394081
115,FBgn0000355,-1.306677334
116,FBgn0000356,-1.030443764
117,FBgn0000357,-0.932507797
118,FBgn0000358,-0.845264761
119,FBgn0000359,-4.654315881
120,FBgn0000360,-3.374521963
121,FBgn0000370,-0.185530726
122,FBgn0000376,0.223538831
123,FBgn0000377,-0.381427499
124,FBgn0000382,0.321975798
125,FBgn0000384,-0.028408179
126,FBgn0000392,NA
127,FBgn0000394,-0.050051364
128,FBgn0000395,-0.221256098
129,FBgn0000404,-2.235112428
130,FBgn0000405,-2.412837514
131,FBgn0000406,-0.315967091
132,FBgn0000411,0.005091947
133,FBgn0000412,-0.347110556
134,FBgn0000414,0.294251843
135,FBgn0000416,0.194911981
136,FBgn0000422,-0.297252615
137,FBgn0000426,-0.872337628
138,FBgn0000427,-6.757237824
139,FBgn0000439,-0.123885199
140,FBgn0000442,0.012568612
141,FBgn0000447,0.056178917
142,FBgn0000448,-0.023616738
143,FBgn0000449,-0.245025233
144,FBgn0000451,-0.66317955
145,FBgn0000454,0.14069913
146,FBgn0000455,-0.170521123
147,FBgn0000459,0.141563485
148,FBgn0000463,-0.14773872
149,FBgn0000464,-0.043464746
150,FBgn0000473,0.450130366
151,FBgn0000477,-0.571460612
152,FBgn0000479,-0.185519256
153,FBgn0000482,0.157675454
154,FBgn0000489,-0.489517251
155,FBgn0000490,0.483148121
156,FBgn0000492,0.556842771
